Date,time,zoneAveTemp,"zoneCoolTemp"""
"        ""2023-07-06",0:00:00,75.4,"72.9"""
"        ""2023-07-06",0:05:00,74.6,"72.9"""
"        ""2023-07-06",0:10:00,73,"72.9"""
"        ""2023-07-06",0:15:00,72.6,"73"""
"        ""2023-07-06",0:20:00,73.2,"74.9"""
"        ""2023-07-06",0:25:00,73.7,"74.9"""
"        ""2023-07-06",0:30:00,74.4,"74.9"""
"        ""2023-07-06",0:35:00,74.7,"74.7"""
"        ""2023-07-06",0:40:00,74.8,"72.8"""
"        ""2023-07-06",0:45:00,73.5,"72.8"""
"        ""2023-07-06",0:50:00,72.4,"72.8"""
"        ""2023-07-06",0:55:00,72.6,"72.9"""
"        ""2023-07-06",1:00:00,72.8,"74.8"""
"        ""2023-07-06",1:05:00,73.1,"74.8"""
"        ""2023-07-06",1:10:00,73.3,"74.8"""
"        ""2023-07-06",1:15:00,73.6,"74.8"""
"        ""2023-07-06",1:20:00,73.9,"75.2"""
"        ""2023-07-06",1:25:00,74.2,"75.2"""
"        ""2023-07-06",1:30:00,74.4,"75.2"""
"        ""2023-07-06",1:35:00,74.4,"75.2"""
"        ""2023-07-06",1:40:00,74.5,"73.6"""
"        ""2023-07-06",1:45:00,74.3,"73.6"""
"        ""2023-07-06",1:50:00,73.3,"73.6"""
"        ""2023-07-06",1:55:00,73.2,"73.6"""
"        ""2023-07-06",2:00:00,73.3,"74.9"""
"        ""2023-07-06",2:05:00,73.6,"74.9"""
"        ""2023-07-06",2:10:00,73.6,"74.9"""
"        ""2023-07-06",2:15:00,73.8,"74.9"""
"        ""2023-07-06",2:20:00,74,"74.9"""
"        ""2023-07-06",2:25:00,74.3,"74.9"""
"        ""2023-07-06",2:30:00,74.4,"74.9"""
"        ""2023-07-06",2:35:00,74.5,"74.9"""
"        ""2023-07-06",2:40:00,74.3,"73.5"""
"        ""2023-07-06",2:45:00,73.1,"73.5"""
"        ""2023-07-06",2:50:00,72.6,"73.5"""
