Time Bucket (America/New_York),Rakhsh-Mains_A (kWatts),Rakhsh-Mains_B (kWatts),Rakhsh-indoor unit heat strip (kWatts),Rakhsh-indoor unit heat strip  (kWatts),Rakhsh-Air Conditioner-ac outside condenser  (kWatts),Rakhsh-Circuit_4 (kWatts),Rakhsh-Circuit_5 (kWatts),Rakhsh-Circuit_6 (kWatts),Rakhsh-Circuit_7 (kWatts),Rakhsh-Circuit_8 (kWatts)
07/07/2023 00:00:00,0.0208,0.1311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:01:00,0.0055,0.1305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:02:00,0.0090,0.1311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:03:00,0.0087,0.1312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:04:00,0.0081,0.1311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:05:00,0.0082,0.1310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:06:00,0.0083,0.1306,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:07:00,0.0038,0.1304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:08:00,0.0032,0.1306,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:09:00,0.0041,0.1309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:10:00,0.0035,0.1303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:11:00,0.0066,0.1301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:12:00,0.0083,0.1287,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:13:00,0.0086,0.1270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:14:00,0.0086,0.1262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:15:00,0.0086,0.1254,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:16:00,0.0059,0.1238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:17:00,0.0050,0.1226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:18:00,0.0047,0.1215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:19:00,0.0012,0.1204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:20:00,0.0619,0.1202,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:21:00,0.1037,0.1192,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:22:00,0.0934,0.1184,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:23:00,0.0926,0.1176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:24:00,0.0970,0.1173,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:25:00,0.0968,0.1604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:26:00,1.1305,1.3957,0.0001,0.0000,0.0000,0.0000,1.1565,1.1658,0.0000,0.0000
07/07/2023 00:27:00,1.5903,1.9065,0.0001,0.0000,0.0000,0.0000,1.6767,1.6902,0.0000,0.0000
07/07/2023 00:28:00,1.5884,1.9086,0.0001,0.0000,0.0000,0.0000,1.6755,1.6887,0.0000,0.0000
07/07/2023 00:29:00,1.5660,1.9060,0.0001,0.0000,0.0000,0.0000,1.6778,1.6911,0.0000,0.0000
07/07/2023 00:30:00,1.5043,1.9050,0.0000,0.0000,0.0000,0.0000,1.6773,1.6905,0.0000,0.0000
07/07/2023 00:31:00,1.5112,1.8960,0.0000,0.0000,0.0000,0.0000,1.6837,1.6971,0.0000,0.0000
07/07/2023 00:32:00,0.9370,1.1859,0.0001,0.0000,0.0000,0.0000,1.0403,1.0485,0.0000,0.0000
07/07/2023 00:33:00,0.0040,0.1599,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:34:00,0.0082,0.1592,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:35:00,0.0080,0.1590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:36:00,0.0079,0.1573,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:37:00,0.0080,0.1576,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:38:00,0.0031,0.1584,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:39:00,0.0027,0.1595,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:40:00,0.0020,0.1575,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:41:00,0.0018,0.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:42:00,0.0022,0.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:43:00,0.1119,0.1424,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:44:00,0.0848,0.1056,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:45:00,0.0831,0.0804,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:46:00,0.0855,0.0458,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:47:00,0.0884,0.0460,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:48:00,0.0911,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:49:00,0.0158,0.0453,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:50:00,0.0000,0.0454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:51:00,0.0000,0.0449,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:52:00,0.0000,0.0442,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:53:00,0.0002,0.0444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:54:00,0.0017,0.0438,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:55:00,0.0013,0.0437,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:56:00,0.0034,0.0392,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07/07/2023 00:57:00,0.0176,0.0319,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
