Date,time,zoneAvgTemp,zoneCoolTemp
7/6/2023,20:00:00,74.3,72.6
7/6/2023,20:05:00,73.9,72
7/6/2023,20:10:00,72.7,72
7/6/2023,20:15:00,71.9,72
7/6/2023,20:20:00,71.7,73.3
7/6/2023,20:25:00,72.1,74
7/6/2023,20:30:00,72.6,74
7/6/2023,20:35:00,73,74
7/6/2023,20:40:00,73.3,74.6
7/6/2023,20:45:00,73.6,75
7/6/2023,20:50:00,74.1,75
7/6/2023,20:55:00,74.3,75
7/6/2023,21:00:00,74.4,73.7
7/6/2023,21:05:00,73.9,72.9
7/6/2023,21:10:00,72.6,72.9
7/6/2023,21:15:00,72.4,72.9
7/6/2023,21:20:00,72.5,74.1
7/6/2023,21:25:00,72.9,74.9
7/6/2023,21:30:00,73.4,74.9
7/6/2023,21:35:00,74,74.9
7/6/2023,21:40:00,74.2,74
7/6/2023,21:45:00,74.4,73.5
7/6/2023,21:50:00,73.9,73.5
7/6/2023,21:55:00,72.8,73.5
7/6/2023,22:00:00,72.8,74.6
7/6/2023,22:05:00,73.2,75.4
7/6/2023,22:10:00,73.5,75.4
7/6/2023,22:15:00,73.6,75.4
7/6/2023,22:20:00,74,75.4
7/6/2023,22:25:00,74,75.5
7/6/2023,22:30:00,74.3,75.5
7/6/2023,22:35:00,74.5,75.5
7/6/2023,22:40:00,74.7,74.3
7/6/2023,22:45:00,74.1,73.5
7/6/2023,22:50:00,72.7,73.5
7/6/2023,22:55:00,72.7,73.5
7/6/2023,23:00:00,73,74.6
7/6/2023,23:05:00,73.4,75.5
7/6/2023,23:10:00,73.7,75.5
7/6/2023,23:15:00,74,75.5
7/6/2023,23:20:00,73.9,75.1
7/6/2023,23:25:00,73.9,75.5
7/6/2023,23:30:00,74.1,77
7/6/2023,23:35:00,74.3,77
7/6/2023,23:40:00,74.6,77
7/6/2023,23:45:00,74.8,77
7/6/2023,23:50:00,75.1,76.9
7/6/2023,23:55:00,75.3,75.2
7/7/2023,0:00:00,75.1,77
7/7/2023,0:05:00,75,77
7/7/2023,0:10:00,75.3,77
7/7/2023,0:15:00,75.5,77.2
7/7/2023,0:20:00,75.5,79
7/7/2023,0:25:00,75.7,79
7/7/2023,0:30:00,75.7,79
7/7/2023,0:35:00,75.8,79.2
7/7/2023,0:40:00,75.7,81
7/7/2023,0:45:00,75.7,81
7/7/2023,0:50:00,75.8,81
7/7/2023,0:55:00,75.7,81.2
7/7/2023,1:00:00,75.7,83
7/7/2023,1:05:00,75.8,83
7/7/2023,1:10:00,75.9,83
7/7/2023,1:15:00,75.9,83.2
7/7/2023,1:20:00,75.9,85
7/7/2023,1:25:00,75.8,85
7/7/2023,1:30:00,75.9,85
7/7/2023,1:35:00,75.9,85.2
7/7/2023,1:40:00,75.9,87
7/7/2023,1:45:00,75.9,87
7/7/2023,1:50:00,75.9,87
7/7/2023,1:55:00,76,87.1
7/7/2023,2:00:00,76,89
7/7/2023,2:05:00,76.1,89
7/7/2023,2:10:00,76,89
7/7/2023,2:15:00,76,89.1
7/7/2023,2:20:00,76,91
7/7/2023,2:25:00,76.1,91
7/7/2023,2:30:00,76,91
7/7/2023,2:35:00,76,91
7/7/2023,2:40:00,76.1,92
7/7/2023,2:45:00,76,92
7/7/2023,2:50:00,76,92
7/7/2023,2:55:00,76.2,92
7/7/2023,3:00:00,76.1,92
7/7/2023,3:05:00,76.2,92
7/7/2023,3:10:00,76.2,92
7/7/2023,3:15:00,76.2,92
7/7/2023,3:20:00,76.2,92
7/7/2023,3:25:00,76.2,92
7/7/2023,3:30:00,76.2,92
7/7/2023,3:35:00,76.2,92
7/7/2023,3:40:00,76.2,92
7/7/2023,3:45:00,76.2,92
7/7/2023,3:50:00,76.2,92
7/7/2023,3:55:00,76.2,92
7/7/2023,4:00:00,76.1,92
7/7/2023,4:05:00,76.2,92
7/7/2023,4:10:00,76.2,92
7/7/2023,4:15:00,76.2,92
7/7/2023,4:20:00,76.2,92
7/7/2023,4:25:00,76.2,92
7/7/2023,4:30:00,76.2,92
7/7/2023,4:35:00,76.2,92
7/7/2023,4:40:00,76.1,92
7/7/2023,4:45:00,76.2,92
7/7/2023,4:50:00,76.2,92
7/7/2023,4:55:00,76.2,92
7/7/2023,5:00:00,76.1,92
7/7/2023,5:05:00,76.1,92
7/7/2023,5:10:00,76.2,92
7/7/2023,5:15:00,76.1,92
7/7/2023,5:20:00,76.2,92
7/7/2023,5:25:00,76.1,92
7/7/2023,5:30:00,76.1,92
7/7/2023,5:35:00,76.1,92
7/7/2023,5:40:00,76.2,92
7/7/2023,5:45:00,76.1,92
7/7/2023,5:50:00,76.1,92
7/7/2023,5:55:00,76.1,92
7/7/2023,6:00:00,76.1,92
7/7/2023,6:05:00,76.1,92
7/7/2023,6:10:00,76.1,92
7/7/2023,6:15:00,76,92
7/7/2023,6:20:00,76.1,92
