Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Mean Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),CENTRAL SYSTEM_UNIT1:Air System Total Cooling Energy [J](TimeStep) 
 07/01  00:15:00,24.725,3,24.72780658,21.62399506,27.08,0,15,27.08,0
 07/01  00:30:00,25.05,3,25.14053587,21.78168401,27.44,0,15,27.44,0
 07/01  00:45:00,25.375,3,22.54751505,21.96281281,22.19,0,15,22.19,4890147.277
 07/01  01:00:00,25.7,3,22.66632668,22.23147727,26.8,0,15,26.8,0
 07/01  01:15:00,25.5,0,21.85167951,22.39395483,21.82,0,15,21.82,4244923.56
 07/01  01:30:00,25.3,0,22.91427433,22.58494914,25.2,0,15,25.2,0
 07/01  01:45:00,25.1,0,23.31591209,22.60102422,27.78,0,15,27.78,0
 07/01  02:00:00,24.9,0,23.55652866,22.57744876,26.48,0,15,26.48,0
 07/01  02:15:00,24.7,0,24.04320131,22.52944857,27.92,0,15,27.92,0
 07/01  02:30:00,24.5,0,21.87937528,22.4521316,21.76,0,15,21.76,3656224.821
 07/01  02:45:00,24.3,0,22.00552663,22.34696944,25.18,0,15,25.18,0
 07/01  03:00:00,24.1,0,22.79171113,22.253791,26.97,0,15,26.97,0
 07/01  03:15:00,23.9,0,22.08992612,22.16440047,22.06,0,15,22.06,2229113.702
 07/01  03:30:00,23.7,0,20.90094991,22.04200883,20.81,0,15,20.81,5433325.312
 07/01  03:45:00,23.5,0,22.10883303,21.92753613,25.2,0,15,25.2,0
 07/01  04:00:00,23.3,0,22.47111169,21.79679729,26.08,0,15,26.08,0
 07/01  04:15:00,23.175,0,20.67438705,21.65219261,20.5,0,15,20.5,5020551.467
 07/01  04:30:00,23.05,0,21.81424543,21.51212888,27.9,0,15,27.9,0
 07/01  04:45:00,22.925,0,22.2266677,21.32781936,24.1,0,15,24.1,0
 07/01  05:00:00,22.8,0,20.27891689,21.14022389,20.08,0,15,20.08,5246846.893
 07/01  05:15:00,22.65,0,20.77747173,20.97801995,20.79,0,15,20.79,2365912.979
 07/01  05:30:00,22.5,0,21.58022949,20.78875443,23.9,0,15,23.9,0
 07/01  05:45:00,22.35,0,21.9620143,20.69236218,25.44,0,15,25.44,0
 07/01  06:00:00,22.2,0,22.06709589,20.69928301,22.06,0,15,22.06,1005091.871
 07/01  06:15:00,22.35,0,22.48424419,20.89926092,25.49,0,15,25.49,0
 07/01  06:30:00,22.5,0,23.08488866,21.2946234,24.34,0,15,24.34,0
 07/01  06:45:00,22.65,0,23.44870108,21.87467628,24.47,0,15,24.47,0
 07/01  07:00:00,22.8,0,23.60577447,22.42813713,24.06,0,15,24.06,0
 07/01  07:15:00,23.2,0,23.97028008,23.41528796,25.19,0,15,25.19,0
 07/01  07:30:00,23.6,0,21.68546723,24.30158583,21.3,0,15,21.3,6288903.217
 07/01  07:45:00,24,0,23.07292945,25.49878944,24.09,0,15,24.09,0
 07/01  08:00:00,24.4,0,23.58723685,26.91046504,25.66,0,15,25.66,0
 07/01  08:15:00,24.825,0,24.53927273,28.82321533,24.89,0,15,24.89,0
 07/01  08:30:00,25.25,0,21.34292937,30.37763591,20.32,0,15,20.32,9071711.249
 07/01  08:45:00,25.675,0,23.22313489,32.21566003,25.08,0,15,25.08,0
 07/01  09:00:00,26.1,0,24.62920547,34.35838922,25.44,0,15,25.44,0
 07/01  09:15:00,26.25,0,22.21644009,36.17369603,21.55,0,15,21.55,7745416.892
 07/01  09:30:00,26.4,0,23.93141755,37.74433779,26.35,0,15,26.35,0
 07/01  09:45:00,26.55,0,25.24032377,39.57634198,25.52,0,15,25.52,117125.9248
 07/01  10:00:00,26.7,0,23.35213411,41.04588887,23.12,0,15,23.12,5541963.964
 07/01  10:15:00,27.1,0,22.95819112,42.21555898,22.95,0,15,22.95,5761995.949
 07/01  10:30:00,27.5,0,22.39254641,43.48208763,22.38,0,15,22.38,6351915.55
 07/01  10:45:00,27.9,0,23.63337997,44.53565447,23.82,0,15,23.82,2157983.915
 07/01  11:00:00,28.3,0,24.88932585,45.51993173,26.34,0,15,26.34,0
 07/01  11:15:00,28.575,0,21.41520256,46.56099113,20.33,0,15,20.33,8473864.337
 07/01  11:30:00,28.85,0,23.94433479,47.54934303,27.57,0,15,27.57,0
 07/01  11:45:00,29.125,0,21.5379191,48.47003296,21.11,0,15,21.11,7208918.015
 07/01  12:00:00,29.4,0,23.70235273,49.36753441,24.89,0,15,24.89,156302.1711
 07/01  12:15:00,29.4,0,24.24805462,49.99015475,24.45,0,15,24.45,1340067.479
 07/01  12:30:00,29.4,0,25.43972501,50.6810995,27.81,0,15,27.81,0
 07/01  12:45:00,29.4,0,26.72577852,51.44362969,27.28,0,15,27.28,0
 07/01  13:00:00,29.4,0,23.11936865,52.08097624,22.26,0,15,22.26,7267463.427
 07/01  13:15:00,29.275,0,23.66051324,52.56685482,23.69,0,15,23.69,4293039.561
 07/01  13:30:00,29.15,0,25.25957815,52.95338051,25.78,0,15,25.78,713201.8489
 07/01  13:45:00,29.025,0,25.66539477,53.15344883,25.7,0,15,25.7,1694769.264
 07/01  14:00:00,28.9,0,25.05180379,53.42386105,25.02,0,15,25.02,3416808.411
 07/01  14:15:00,29.325,0,25.63060982,53.77215292,25.64,0,15,25.64,2621389.002
 07/01  14:30:00,29.75,0,24.78329526,54.25063293,24.75,0,15,24.75,4791613.918
 07/01  14:45:00,30.175,0,23.79448048,54.78702128,23.74,0,15,23.74,7037858.31
 07/01  15:00:00,30.6,0,22.36239071,55.04510694,21.73,0,15,21.73,10500895.79
 07/01  15:15:00,30.6,0,21.68258072,55.02402499,20.2,0,15,20.2,10605054.71
 07/01  15:30:00,30.6,0,22.54075644,54.77541103,22.56,0,15,22.56,6166353.722
 07/01  15:45:00,30.6,0,24.35119025,54.31225122,24.71,0,15,24.71,1985543.929
 07/01  16:00:00,30.6,0,21.69999462,53.66379936,20.42,0,15,20.42,10588409.99
 07/01  16:15:00,30.45,0,23.9830235,52.8060896,27.34,0,15,27.34,0
 07/01  16:30:00,30.3,0,22.5875482,51.92503859,22.54,0,15,22.54,5237418.5
 07/01  16:45:00,30.15,0,23.48910781,50.82173035,23.49,0,15,23.49,4680721.754
 07/01  17:00:00,30,0,25.59278437,49.81458313,27.67,0,15,27.67,0
 07/01  17:15:00,30,0,23.3425083,48.71816031,23.11,0,15,23.11,5495983.013
 07/01  17:30:00,30,0,25.91617474,47.55732605,27.82,0,15,27.82,0
