Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
00:15:00,3.324978E-02,1.129303E+03,3.324978E-02,1.403276E+02,4.384643E+02,3.324978E-02,7.928008E+02,3.324978E-02,4.768298E+02,1.023150E+03
00:30:00,3.324978E-02,1.129303E+03,3.324978E-02,1.403276E+02,4.384643E+02,3.324978E-02,7.963591E+02,3.324978E-02,4.732715E+02,1.019481E+03
00:45:00,3.324978E-02,1.129303E+03,3.324978E-02,1.403276E+02,4.384643E+02,3.324978E-02,7.999174E+02,9.438473E-02,1.219353E+03,2.206344E+03
01:00:00,3.324978E-02,1.129303E+03,3.324978E-02,1.403276E+02,4.384643E+02,3.324978E-02,8.034757E+02,9.438473E-02,1.192847E+03,2.189394E+03
01:15:00,3.324978E-02,1.129303E+03,3.324978E-02,1.403276E+02,4.384643E+02,3.324978E-02,8.058479E+02,1.799142E-01,2.102821E+03,3.655387E+03
01:30:00,3.324978E-02,1.129303E+03,3.324978E-02,1.403276E+02,4.384643E+02,3.324978E-02,8.082201E+02,1.799142E-01,1.990320E+03,3.538537E+03
01:45:00,3.324978E-02,1.129303E+03,3.324978E-02,1.403276E+02,4.384643E+02,3.324978E-02,8.105923E+02,8.552945E-02,1.021104E+03,1.979517E+03
02:00:00,3.324978E-02,1.129303E+03,3.324978E-02,1.403276E+02,4.384643E+02,3.324978E-02,8.129645E+02,8.552945E-02,1.034591E+03,2.013344E+03
02:15:00,3.324978E-02,1.129303E+03,3.324978E-02,1.403276E+02,4.384643E+02,3.324978E-02,8.147437E+02,3.324978E-02,4.548869E+02,1.000525E+03
02:30:00,3.324978E-02,1.129303E+03,3.324978E-02,1.403276E+02,4.384643E+02,3.324978E-02,8.165228E+02,9.292222E-02,1.139375E+03,2.144936E+03
02:45:00,3.324978E-02,1.129303E+03,3.324978E-02,1.403276E+02,4.384643E+02,3.324978E-02,8.183020E+02,9.292222E-02,1.109842E+03,2.089634E+03
03:00:00,3.324978E-02,1.129303E+03,3.324978E-02,1.403276E+02,4.384643E+02,3.324978E-02,8.200811E+02,9.292222E-02,1.091584E+03,2.056175E+03
03:15:00,3.324978E-02,1.129303E+03,3.324978E-02,1.403276E+02,4.384643E+02,3.324978E-02,8.218603E+02,1.374311E-01,1.517956E+03,2.789230E+03
